Client_ID,Username,Email,Age,Gender,Annual_Income,Purchase_Frequency,Amount_Spent,Product_Category,Time_Spent,Payment_Method,Discount_Used,Fraud
00076,Rita Smith,rita.sm@yahoo.com,36,Female,31284,3,426.95,Fashion,30.88,Debit Card,0,0
00077,Valerie Herrera,valerie.he@yahoo.com,53,Female,59379,4,1561.06,Electronic,56.21,Credit Card,0,0
00078,Christopher Rubio,christopher.ru@hotmail.com,20,Female,47133,1,128.3,Books,55.7,PayPal,0,0
00079,Sara Atkins,sara.at@gmail.com,47,Male,56024,4,936.19,Books,21.81,Debit Card,1,0
00080,Jay Thomas,jay.th@gmail.com,39,Male,41667,1,482.94,Electronic,34.04,Debit Card,0,0
00081,Loretta Scott,loretta.sc@hotmail.com,29,Male,55017,3,1069.53,Fashion,13.05,Wire,0,0
00082,Kiara Wood,kiara.wo@gmail.com,33,Male,49782,2,335.04,Toys,36.96,Debit Card,0,0
00083,Mike Hill,mike.hi@yahoo.com,18,Male,44940,2,623.97,Books,62.53,PayPal,0,0
00084,Vincent Brown,vincent.br@hotmail.com,36,Female,39261,2,461.88,Fashion,13.15,PayPal,1,0
00085,Robert Myers,robert.my@hotmail.com,22,Male,71698,2,851.58,Toys,36.79,PayPal,0,0
00086,Lisa Scott,lisa.sc@yahoo.com,31,Male,52081,4,476.42,Home,45.96,PayPal,0,0
00087,Theresa Becker,theresa.be@hotmail.com,40,Male,48604,1,115.25,Electronic,29.67,Credit Card,0,0
00088,Erik Carter,erik.ca@yahoo.com,49,Male,20356,3,1290.79,Fashion,21.49,Wire,0,0
00089,Robert Mitchell,robert.mi@yahoo.com,28,Female,54212,4,1722.93,Electronic,53.54,PayPal,0,0
00090,Rebecca Campbell,rebecca.ca@yahoo.com,34,Female,35931,1,440.16,Fashion,12.01,PayPal,0,0
00091,Steven Robinson,steven.ro@gmail.com,30,Male,48841,1,253.8,Toys,9.25,PayPal,0,0
00092,Teresa Newton,teresa.ne@yahoo.com,22,Female,69165,1,368.85,Electronic,29.04,PayPal,0,0
00093,Gabrielle Lyons,gabrielle.ly@hotmail.com,36,Other,40345,1,127.83,Books,35.89,Credit Card,0,0
00094,Paul Avery,paul.av@gmail.com,21,Male,74432,2,948.57,Toys,11.89,PayPal,0,1
00095,Andrew Adams,andrew.ad@yahoo.com,30,Male,53147,3,276.68,Electronic,34.49,Wire,1,0
00096,Jeremiah Walton,jeremiah.wa@yahoo.com,52,Female,58350,1,402.66,Fashion,51.44,PayPal,0,0
00097,Holly Walker,holly.wa@gmail.com,37,Male,43768,1,119.1,Sports,8.42,Wire,0,0
00098,David Miller,david.mi@hotmail.com,39,Male,66131,1,25.25,Home,50.22,PayPal,0,0
00099,Chad Wright,chad.wr@yahoo.com,33,Female,64119,1,20.94,Home,46.63,Credit Card,1,0
00100,Jennifer Howell,jennifer.ho@hotmail.com,31,Female,45939,1,138.24,Electronic,53.52,Debit Card,1,0
00101,Deanna Wiggins,deanna.wi@hotmail.com,34,Male,74177,2,865.4,Electronic,21.69,Wire,1,0
00102,Richard White,richard.wh@gmail.com,18,Female,53777,1,168.14,Toys,40.34,PayPal,0,0
00103,Danielle Mills,danielle.mi@hotmail.com,35,Female,39160,1,291.92,Sports,22.55,Wire,0,0
00104,Thomas Costa,thomas.co@hotmail.com,47,Female,60714,4,769.88,Toys,67.92,Wire,1,0
00105,Debra Maynard,debra.ma@gmail.com,42,Male,56706,1,210.76,Sports,12.65,Wire,0,0
00106,Mark Avery,mark.av@gmail.com,34,Male,68710,2,244.67,Books,18.49,Debit Card,1,0
00107,Kimberly Li,kimberly.li@gmail.com,36,Female,35567,1,391.81,Home,10.02,Credit Card,1,0
00108,Aimee Wood,aimee.wo@yahoo.com,30,Female,69183,2,917.78,Electronic,45.42,Wire,1,0
00109,Keith Rodriguez,keith.ro@hotmail.com,30,Male,18227,2,28.86,Sports,26.92,Debit Card,1,0
00110,Jeffery Taylor,jeffery.ta@yahoo.com,23,Female,44638,1,249.08,Books,39.19,Wire,0,0
00111,Kimberly Perez,kimberly.pe@yahoo.com,58,Male,48538,3,1462.53,Home,17.83,Credit Card,1,0
00112,Kenneth Johnson,kenneth.jo@hotmail.com,32,Male,50699,5,1100.34,Books,17.47,Debit Card,0,0
00113,Kelly Matthews,kelly.ma@yahoo.com,31,Female,52386,3,106.72,Sports,17.95,Credit Card,0,0
00114,John Carroll,john.ca@yahoo.com,36,Male,46550,4,1805.41,Books,26.46,PayPal,1,0
00115,Craig Rios,craig.ri@hotmail.com,43,Other,40005,1,304.84,Toys,51.96,Debit Card,0,0
00116,Kristina Cline,kristina.cl@yahoo.com,34,Male,40097,2,80.68,Electronic,27.6,Credit Card,1,0
00117,Katrina Reese,katrina.re@gmail.com,20,Female,57366,1,40.76,Home,59.94,PayPal,1,0
00118,Laura Ramirez,laura.ra@gmail.com,51,Male,45364,1,87.68,Fashion,20.61,Debit Card,1,0
00119,Raymond Jackson,raymond.ja@yahoo.com,31,Female,46743,1,166.72,Sports,24.04,PayPal,0,0
00120,Shawn Adkins,shawn.ad@yahoo.com,19,Female,66536,1,415.62,Books,55.84,Wire,0,0
00121,Juan Williams,juan.wi@yahoo.com,30,Male,62529,2,501.12,Fashion,29.26,Debit Card,0,0
00122,Christopher Saunders,christopher.sa@gmail.com,22,Female,28314,4,177.82,Books,43.53,Debit Card,0,0
00123,Matthew Thompson,matthew.th@yahoo.com,47,Female,45269,1,356.76,Fashion,14.49,Wire,0,0
00124,Teresa Nguyen,teresa.ng@gmail.com,30,Female,80803,3,1108.01,Sports,47.27,PayPal,0,0
00125,Ross Craig,ross.cr@hotmail.com,43,Female,14783,3,504.31,Electronic,42.61,Wire,0,0
00126,Alexandra Wong,alexandra.wo@gmail.com,19,Female,53562,2,729.69,Sports,38.65,PayPal,0,0
00127,Heather Morris,heather.mo@hotmail.com,36,Male,26244,2,532.77,Fashion,15.53,Debit Card,0,0
00128,Jacob Benson,jacob.be@gmail.com,22,Female,59809,4,748.77,Toys,14.08,Wire,0,0
00129,Samuel White,samuel.wh@gmail.com,47,Female,58351,1,36.26,Fashion,47.17,PayPal,1,0
00130,David Moore,david.mo@gmail.com,23,Male,81140,2,209.81,Electronic,26.86,Credit Card,0,0
00131,Paul Brooks,paul.br@gmail.com,32,Male,61257,1,303.07,Fashion,15.7,Debit Card,0,0
00132,James Carter,james.ca@gmail.com,30,Male,28589,1,152.24,Home,25.81,Credit Card,0,0
00133,Angela Frazier,angela.fr@yahoo.com,28,Female,51285,3,575.28,Sports,19.79,PayPal,1,0
00134,Nicholas Glover,nicholas.gl@gmail.com,45,Female,47723,1,418.31,Sports,32.65,PayPal,0,1
00135,Manuel Wright,manuel.wr@yahoo.com,28,Male,57786,1,445.72,Fashion,62.0,Debit Card,0,0
00136,Tammy Pierce,tammy.pi@hotmail.com,37,Female,24870,5,1817.06,Home,39.08,Debit Card,0,0
00137,Alexis Williams,alexis.wi@gmail.com,31,Female,62775,2,708.73,Home,44.55,Wire,1,0
00138,Kathy Long,kathy.lo@yahoo.com,30,Female,45886,1,464.21,Books,18.34,Credit Card,1,0
00139,Jenna Smith,jenna.sm@yahoo.com,33,Female,50149,2,837.47,Fashion,41.28,Debit Card,0,0
00140,Lisa Richards,lisa.ri@hotmail.com,45,Male,44850,1,11.23,Toys,42.93,Debit Card,0,0
00141,Andrew Contreras,andrew.co@yahoo.com,35,Female,58110,1,407.59,Sports,25.02,Debit Card,1,0
00142,Jesse Miller,jesse.mi@hotmail.com,45,Male,25490,1,158.8,Sports,48.85,PayPal,0,0
00143,Scott Winters,scott.wi@hotmail.com,25,Female,46920,2,274.78,Fashion,13.39,Credit Card,0,0
00144,Wesley Munoz,wesley.mu@hotmail.com,36,Male,49327,2,90.97,Toys,34.77,Debit Card,1,0
00145,Kevin Salinas,kevin.sa@hotmail.com,34,Female,41582,2,826.1,Toys,15.14,PayPal,0,0
00146,Megan Lopez,megan.lo@hotmail.com,32,Male,47655,2,71.93,Electronic,9.22,Credit Card,0,0
00147,Kimberly Stevens,kimberly.st@yahoo.com,25,Female,20868,1,238.77,Toys,51.46,Wire,0,0
00148,Matthew Peters,matthew.pe@hotmail.com,25,Female,74702,1,418.48,Electronic,38.31,Credit Card,0,0
00149,Danielle Parks,danielle.pa@yahoo.com,37,Female,78862,1,224.31,Electronic,41.35,PayPal,1,0
00150,Luke Nguyen,luke.ng@gmail.com,22,Male,40593,1,101.51,Sports,16.41,Credit Card,1,0
00151,Joseph Johnson,joseph.jo@yahoo.com,45,Male,33074,1,259.66,Toys,31.43,Debit Card,0,0
00152,Joseph Aguirre,joseph.ag@gmail.com,29,Female,67713,3,499.2,Home,56.9,Credit Card,0,0
00153,Yvonne Brown,yvonne.br@yahoo.com,36,Male,47014,3,41.17,Home,57.01,PayPal,0,0
00154,Jeffrey Brown,jeffrey.br@hotmail.com,48,Male,62926,1,365.36,Home,33.93,Wire,0,0
00155,Dawn Nash,dawn.na@gmail.com,32,Female,23838,1,210.2,Sports,19.64,Wire,0,0
00156,Chelsea Bryant,chelsea.br@hotmail.com,32,Male,58665,3,618.41,Sports,46.67,Debit Card,0,0
00157,Michael Fischer,michael.fi@gmail.com,39,Male,55231,1,93.87,Fashion,60.77,Credit Card,0,0
00158,Jennifer Nelson,jennifer.ne@gmail.com,37,Other,46710,2,576.28,Home,48.51,Debit Card,0,0
00159,Jorge Jackson,jorge.ja@yahoo.com,39,Male,34452,1,374.78,Toys,58.94,Wire,0,0
00160,Alexis Lara,alexis.la@gmail.com,39,Female,59905,2,170.25,Home,21.92,Wire,0,0
00161,Jasmine Hernandez,jasmine.he@yahoo.com,53,Female,57286,1,464.7,Books,19.46,Credit Card,0,0
00162,Carrie Nelson,carrie.ne@gmail.com,30,Female,64704,1,152.58,Toys,7.93,Credit Card,0,0
00163,Jared Castro,jared.ca@gmail.com,39,Female,51267,3,1163.76,Books,16.92,PayPal,0,0
00164,Maurice Berger,maurice.be@hotmail.com,44,Other,37738,2,160.29,Fashion,40.98,PayPal,0,0
00165,Michael Fields,michael.fi@hotmail.com,20,Male,50617,2,255.74,Sports,59.86,Wire,1,0
00166,Kayla Stewart,kayla.st@gmail.com,19,Male,51247,2,348.79,Electronic,30.66,Credit Card,0,0
00167,Michael Bruce,michael.br@hotmail.com,49,Male,79808,1,229.96,Home,36.21,Credit Card,0,0
00168,Amanda Walls,amanda.wa@hotmail.com,46,Female,47757,1,401.1,Sports,15.08,PayPal,0,0
00169,Brandon Owens,brandon.ow@hotmail.com,43,Female,42413,1,15.12,Home,47.12,Wire,1,0
00170,Elizabeth Clark,elizabeth.cl@hotmail.com,35,Male,58601,1,35.18,Home,17.64,PayPal,1,0
00171,Brian Jackson,brian.ja@hotmail.com,35,Female,61060,1,353.05,Electronic,9.96,Debit Card,0,0
00172,Shawn Jones,shawn.jo@gmail.com,58,Female,82285,1,421.78,Toys,34.15,PayPal,0,0
00173,Erica Sutton,erica.su@yahoo.com,28,Female,36766,2,364.72,Sports,50.58,Credit Card,0,0
00174,Kathleen Kirk,kathleen.ki@yahoo.com,32,Other,54797,2,63.04,Toys,52.57,PayPal,0,0
00175,Amanda Johnson,amanda.jo@yahoo.com,22,Male,32684,2,966.72,Electronic,48.29,Debit Card,0,0
00176,William Frost,william.fr@yahoo.com,30,Female,44652,3,1382.19,Sports,57.86,Wire,1,0
00177,Melissa Francis,melissa.fr@yahoo.com,28,Female,57138,3,1240.42,Home,20.82,Debit Card,0,0
00178,Angela Morgan,angela.mo@gmail.com,33,Male,34019,3,942.78,Toys,61.81,Debit Card,1,0
00179,Thomas Weeks,thomas.we@yahoo.com,36,Female,43732,3,736.72,Books,34.24,Wire,0,0
00180,Roberto Bautista,roberto.ba@hotmail.com,41,Male,60100,2,958.69,Books,34.4,Wire,0,0
00181,Steven Lamb,steven.la@gmail.com,55,Male,67576,1,161.18,Sports,12.7,PayPal,1,0
00182,Mitchell Anderson,mitchell.an@yahoo.com,52,Female,49667,1,290.66,Books,55.62,Credit Card,0,0
00183,Nicole Jackson,nicole.ja@gmail.com,41,Female,67601,3,1448.34,Books,43.19,Wire,0,0
00184,Michael Glass,michael.gl@gmail.com,45,Female,64719,5,1608.51,Toys,30.12,Credit Card,0,0
00185,John Ortega,john.or@yahoo.com,18,Male,53505,2,375.99,Home,22.33,Debit Card,1,0
00186,Kirk Garcia,kirk.ga@gmail.com,39,Male,68105,5,1248.69,Electronic,57.56,Credit Card,1,0
00187,Lisa Watson,lisa.wa@gmail.com,27,Male,44095,3,479.93,Home,39.44,Credit Card,1,0
00188,Christopher Christensen,christopher.ch@gmail.com,28,Female,39679,2,280.38,Electronic,61.3,Credit Card,0,0
00189,David Sawyer,david.sa@yahoo.com,37,Male,50731,3,791.74,Fashion,56.44,PayPal,0,0
00190,Sherri Aguilar,sherri.ag@hotmail.com,26,Other,52244,2,903.29,Toys,55.32,PayPal,0,0
00191,Bobby Rich,bobby.ri@yahoo.com,31,Female,47024,1,379.7,Books,37.73,Debit Card,0,0
00192,Joanna Newman,joanna.ne@yahoo.com,18,Female,82019,1,243.7,Sports,46.45,Credit Card,0,0
00193,Gerald Wolf,gerald.wo@hotmail.com,48,Other,82538,1,278.86,Toys,36.39,Wire,0,0
00194,Andrew Davis,andrew.da@gmail.com,38,Male,63720,3,243.69,Sports,50.92,Credit Card,1,0
00195,Austin Dunn,austin.du@hotmail.com,30,Male,25279,3,1186.57,Toys,47.73,Debit Card,1,0
00196,Denise Vaughn,denise.va@hotmail.com,26,Male,54310,2,471.92,Home,49.03,PayPal,0,0
00197,Jamie Young,jamie.yo@hotmail.com,39,Male,16270,3,1233.81,Books,62.31,PayPal,0,0
00198,Jeffrey Gonzalez,jeffrey.go@hotmail.com,18,Male,42605,1,109.22,Sports,28.18,Wire,0,0
00199,Barbara Green,barbara.gr@hotmail.com,45,Male,39465,4,970.2,Books,35.18,Wire,1,0
00200,Daniel Sanchez,daniel.sa@hotmail.com,27,Female,60663,1,74.78,Sports,45.58,Credit Card,0,0
00201,Melinda Parker,melinda.pa@yahoo.com,29,Male,51918,1,214.41,Books,49.1,Debit Card,0,0
00202,Kristen Allen,kristen.al@hotmail.com,20,Female,58092,2,761.16,Home,31.78,PayPal,0,0
00203,Denise Lin,denise.li@gmail.com,25,Male,54722,1,159.67,Toys,35.0,Credit Card,1,0
00204,Michael Alvarez,michael.al@gmail.com,18,Other,57150,3,81.92,Sports,36.56,Debit Card,1,0
00205,Alexandra Patterson,alexandra.pa@yahoo.com,18,Female,27678,6,2554.36,Books,43.89,Wire,0,0
00206,Jacob Duran,jacob.du@gmail.com,36,Male,50406,1,477.03,Fashion,40.56,PayPal,0,0
00207,Brittney Wyatt,brittney.wy@gmail.com,57,Male,76571,2,352.27,Home,23.02,Credit Card,0,0
00208,Kaitlin Davis,kaitlin.da@yahoo.com,41,Female,50792,4,1243.69,Books,45.81,Debit Card,0,0
00209,Judith Green,judith.gr@gmail.com,32,Female,47267,4,535.94,Toys,58.06,Debit Card,0,0
00210,Miranda Cooper,miranda.co@gmail.com,27,Male,69083,3,1050.27,Fashion,51.47,Wire,1,0
00211,David Rose,david.ro@yahoo.com,28,Female,23031,3,1392.67,Toys,22.96,Credit Card,1,0
00212,Ricardo Hernandez,ricardo.he@yahoo.com,30,Female,20889,1,471.55,Fashion,19.05,Wire,1,0
00213,Haley Watson,haley.wa@yahoo.com,28,Female,44172,3,1164.23,Electronic,50.8,Credit Card,0,0
00214,Adam Williams,adam.wi@gmail.com,37,Female,42339,3,221.13,Home,21.69,Debit Card,0,0
00215,Kelly Gardner,kelly.ga@hotmail.com,36,Male,44780,1,409.22,Fashion,46.1,Credit Card,0,0
00216,Grant Ferguson,grant.fe@hotmail.com,27,Female,47699,3,638.37,Books,34.55,PayPal,0,0
00217,Chloe Hughes,chloe.hu@yahoo.com,25,Female,66531,3,1197.95,Sports,59.88,Credit Card,0,0
00218,Lisa Jones,lisa.jo@hotmail.com,36,Male,47128,1,258.83,Toys,7.38,Credit Card,1,0
00219,Rebecca Hall,rebecca.ha@yahoo.com,42,Female,51663,1,149.04,Electronic,59.72,PayPal,0,0
00220,Joseph Clark,joseph.cl@yahoo.com,25,Male,40551,3,1314.46,Home,59.7,Credit Card,1,0
00221,Kayla Hale,kayla.ha@hotmail.com,27,Female,39057,4,797.22,Sports,18.55,PayPal,0,0
00222,Marie Lowery,marie.lo@hotmail.com,44,Female,46568,3,387.1,Fashion,46.77,Credit Card,0,0
00223,Jenna Coleman,jenna.co@gmail.com,34,Female,51041,1,352.18,Fashion,11.46,Debit Card,0,0
00224,Andrew Escobar,andrew.es@gmail.com,32,Female,50120,3,1157.24,Electronic,35.66,Wire,1,0
00225,Lori Martin,lori.ma@hotmail.com,42,Female,24259,1,197.92,Books,9.43,PayPal,0,0
00226,Dana Kerr,dana.ke@yahoo.com,33,Male,66820,2,177.15,Sports,40.78,Credit Card,0,0
00227,Lauren Stout,lauren.st@yahoo.com,36,Female,46719,2,38.69,Sports,25.29,Wire,0,0
00228,Thomas Acosta,thomas.ac@gmail.com,38,Female,33385,2,110.77,Fashion,50.91,Wire,0,0
00229,Ashley Edwards,ashley.ed@hotmail.com,34,Male,56232,3,738.33,Sports,29.95,Credit Card,1,0
00230,Jacqueline Buchanan,jacqueline.bu@yahoo.com,45,Female,59088,5,740.43,Sports,17.8,Credit Card,1,0
00231,Cody Mitchell,cody.mi@hotmail.com,46,Female,58328,2,86.64,Electronic,55.63,Debit Card,0,0
00232,John Lee,john.le@gmail.com,34,Female,42649,3,1144.78,Toys,30.09,Credit Card,0,0
00233,Rebekah Butler,rebekah.bu@hotmail.com,21,Male,34567,1,350.1,Sports,60.69,Credit Card,0,0
00234,Donald Pittman,donald.pi@hotmail.com,41,Female,50906,1,322.68,Home,51.01,Debit Card,1,0
00235,Rebekah Gonzalez,rebekah.go@hotmail.com,26,Male,66418,6,1210.94,Home,35.48,Wire,0,0
00236,Edward Miller,edward.mi@hotmail.com,29,Male,41924,4,1238.58,Electronic,62.03,Credit Card,0,0
00237,Pamela Rivera,pamela.ri@yahoo.com,38,Male,38437,3,507.34,Home,57.48,PayPal,0,0
00238,Michael Chapman,michael.ch@yahoo.com,20,Other,58166,3,1149.63,Sports,55.83,Wire,0,0
00239,Kathy Briggs,kathy.br@hotmail.com,39,Female,51232,3,324.16,Toys,24.38,PayPal,0,0
00240,Natalie Collins,natalie.co@hotmail.com,30,Female,37234,1,379.93,Toys,42.85,Credit Card,1,0
00241,Susan Evans,susan.ev@hotmail.com,47,Female,43967,1,370.38,Home,48.68,Debit Card,0,0
00242,John Zhang,john.zh@yahoo.com,39,Male,41083,1,296.67,Books,14.09,Wire,0,0
00243,Courtney Cunningham,courtney.cu@hotmail.com,21,Female,54061,3,364.26,Sports,21.85,PayPal,0,0
00244,Ashley Olson,ashley.ol@yahoo.com,38,Male,46680,2,757.6,Fashion,42.4,Wire,0,0
00245,Maurice Gonzalez,maurice.go@gmail.com,21,Male,56632,1,482.77,Electronic,51.13,Credit Card,0,0
00246,Joshua Price,joshua.pr@hotmail.com,27,Male,46531,1,303.98,Fashion,7.24,Wire,0,0
00247,Joseph Wolfe,joseph.wo@yahoo.com,54,Male,65389,3,694.58,Sports,19.9,Credit Card,0,0
00248,Daniel Morales,daniel.mo@gmail.com,48,Female,23774,2,113.99,Toys,34.49,Debit Card,0,0
